单位id,用户id（uid）,在线时长（秒）
1727,66011868,223
1727,176870837,1977
1727,147023189,107219
1727,239249338,644
1727,84535003,5239
1727,82394023,26399
1727,84535039,27458
1727,82300396,53643
1727,147022086,105184
1727,188925140,5914
1727,103130071,35269
1727,147027132,95743
1727,79042277,4134
1727,191960931,194346
1727,103132139,42072
1727,103132147,147139
1727,147116114,180
1727,177156274,180
1727,84533777,33208
1727,103130590,66656
1727,103131840,26098
1727,147026739,498996
1727,121560491,3339
1727,191962784,67789
1727,87764829,37470
1727,36456472,163423
1727,94726215,19136
1727,147024938,115301
1727,82259431,9263
1727,103129328,44559
1727,41353000,9469
1727,87635023,57459
1727,147111710,11389
1727,84533617,285961
1727,103128566,282536
1727,103132107,52417
1727,66015617,6101
1727,147027584,202750
1727,191963897,122961
1727,58852781,43634
1727,103128793,25520
1727,191959794,164412
1727,147025112,38747
1727,168971607,942
1727,191959870,52316
1727,66012147,860539
1727,191962896,188368
1727,46858682,57906
1727,147022960,100814
1727,239247378,180
1727,155622311,180
1727,66019876,375559
1727,84535891,40777
1727,103129599,380693
1727,69585165,3675
1727,103131443,48505
1727,122263247,329515
1727,84535971,109525
1727,82128848,39460
1727,103132165,71581
1727,39381584,360
1727,80056003,93828
1727,103130127,25101
1727,84533757,24222
1727,122263202,364675
1727,103129197,46973
1727,191961843,227615
1727,150022924,275373
1727,36202731,4281
1727,103128426,38907
1727,82129132,211546
1727,234988864,25243
1727,191961801,147631
1727,147027337,27123
1727,103129420,36241
1727,191963922,444467
1727,110890360,79100
1727,147112293,446213
1727,191962994,282753
1727,60390833,1056
1727,147109877,180
1727,191961570,97793
1727,82059475,24168
1727,103373415,10537
1727,147025570,150026
1727,147027626,47569
1727,82129168,39770
1727,58252079,13897
1727,191962420,89410
1727,82832665,40481
1727,82300658,105783
1727,103131915,531865
1727,103130858,70041
1727,82654893,49933
1727,191961786,176055
1727,147027549,67129
1727,105550682,21808
1727,234990003,21252
1727,66017849,54223
1727,234988274,24506
1727,188926166,16645
1727,141529806,432
1727,226738792,1051
1727,191963666,59684
1727,67186403,1205
1727,191961630,135806
1727,234987467,28633
1727,88359690,66759
1727,103128003,54560
1727,155622400,387
1727,69977585,762
1727,84534346,72813
1727,147024626,859544
1727,147021879,195804
1727,147026386,365037
1727,80022144,31033
1727,191962883,103084
1727,147021651,319844
1727,147027688,5093
1727,103131935,360
1727,147023026,52128
1727,103131300,85352
1727,239248392,180
1727,228155437,540
1727,96925726,1032
1727,103131020,222219
1727,82832788,22420
1727,82299617,28919
1727,103131825,39726
1727,57259933,646
1727,188926961,27471
1727,147023920,90398
1727,191960421,124485
1727,43048916,180
1727,66021116,39074
1727,191959974,613304
1727,121559100,189937
1727,56496559,1242
1727,147024303,66871
1727,147022150,31063
1727,66007522,430
1727,191963539,176035
1727,147022654,130173
1727,66016009,467
1727,103129507,138933
1727,103129381,241298
1727,66007159,183
1727,82575326,79161
1727,234988087,180
1727,66015461,230047
1727,147025222,129294
1727,147022317,124312
1727,191962636,349826
1727,82129186,68070
1727,58105985,25270
1727,147027003,218664
1727,147025294,861757
1727,103129583,131600
1727,194782611,18876
1727,103131353,66341
1727,147023709,131319
1727,226738816,180
1727,66019903,180
1727,195499675,42083
1727,117125309,944
1727,66018405,688
1727,239249902,540
1727,80361635,7313
1727,103130991,212294
1727,83917601,16784
1727,83526346,25631
1727,66012583,11012
1727,191963362,590262
1727,188926699,4919
1727,147027677,99824
1727,191959809,157552
1727,79159846,35187
1727,191963438,81417
1727,191960715,173211
1727,84534070,19024
1727,191962774,29498
1727,66006591,83147
1727,66011340,2180
1727,103130314,338975
1727,80958056,115607
1727,188927169,23908
1727,147033650,649
1727,82300531,71972
